unix_timestamp,eda
1764754394619854,-0.07260533422231674
1764754394866774,-0.07094026356935501
1764754395113694,-0.07068409770727158
1764754395360614,-0.06944596022367477
1764754395607534,-0.0702856183052063
1764754395854454,-0.07055601477622986
1764754396101374,-0.07002945244312286
1764754396348294,-0.06944596022367477
1764754396595214,-0.07020022720098495
1764754396842134,-0.07054178416728973
1764754397089054,-0.06974482536315918
1764754397335974,-0.07031407952308655
1764754397582894,-0.07004368305206299
1764754397829814,-0.06971635669469833
1764754398076734,-0.07062716782093048
1764754398323654,-0.07015753537416458
1764754398570574,-0.07052755355834961
1764754398817494,-0.06930364668369293
1764754399064414,-0.06971635669469833
1764754399311334,-0.07015753537416458
1764754399558254,-0.06884824484586716
1764754399805174,-0.07192222774028778
1764754400052094,-0.07351614534854889
1764754400299014,-0.06997252255678177
1764754400545934,-0.0690474808216095
1764754400792854,-0.07038523256778717
1764754401039774,-0.07059870660305023
1764754401286694,-0.07185106724500656
1764754401533615,-0.07008637487888336
1764754401780535,-0.06973059475421906
1764754402027455,-0.06913287192583084
1764754402274375,-0.07007214426994324
1764754402521295,-0.06876285374164581
1764754402768215,-0.07072678953409195
1764754403015135,-0.06938903778791428
1764754403262055,-0.0702856183052063
1764754403508975,-0.0681082084774971
1764754403755895,-0.06879132241010666
1764754404002815,-0.07004368305206299
1764754404249735,-0.0685778483748436
