file_timestamp,unix_timestamp,steps
1764756299,1764756302777243,0
1764756299,1764756305777246,0
1764756299,1764756308777249,0
1764756299,1764756311777252,0
1764756299,1764756314777256,0
1764756299,1764756317777259,0
1764756299,1764756320777262,0
1764756299,1764756323777265,0
1764756299,1764756326777268,0
1764756299,1764756329777271,0
1764756299,1764756332777274,0
1764756299,1764756335777278,0
1764756299,1764756338777280,0
1764756299,1764756341777284,0
1764756299,1764756344777287,0
1764756299,1764756347777290,0
1764756299,1764756350777293,0
1764756299,1764756353777296,0
1764756299,1764756356777299,0
1764756299,1764756359777302,0
1764756299,1764756362777306,0
1764756299,1764756365777309,0
1764756299,1764756368777312,0
1764756299,1764756371777315,0
1764756299,1764756374777318,0
1764756299,1764756377777321,0
1764756299,1764756380777324,0
1764756299,1764756383777328,0
1764756299,1764756386777330,0
1764756299,1764756389777334,0
1764756299,1764756392777337,0
1764756299,1764756395777340,0
1764756299,1764756398777343,0
1764756299,1764756401777346,0
1764756299,1764756404777350,0
1764756299,1764756407777352,0
1764756299,1764756410777356,0
1764756299,1764756413777359,0
1764756299,1764756416777362,0
1764756299,1764756419777365,0
1764756299,1764756422777368,0
1764756299,1764756425777371,0
1764756299,1764756428777374,0
1764756299,1764756431777378,0
1764756299,1764756434777381,0
1764756299,1764756437777384,0
